No,Nama_Program,IPTA,Kod_Program,Tahun,Merit,Is_Feeder,Is_STEM,Bumiputera_Sahaja,Pakej_Min,Peringkat_Pengajian,Mod_Pengajian,Tempoh_Pengajian,Bidang_NEC,Bertemu_Duga,Joint_Degree,Catatan,Req_BM,Req_BI,Req_Sejarah,Req_Math,Req_AddMath,Req_Fizik,Req_Kimia,Req_Bio,Req_Sains,Req_PI,Req_BahasaArab,Pilihan_1_Gred,Pilihan_1_Bil,Pilihan_1_Subjek,Pilihan_2_Gred,Pilihan_2_Bil,Pilihan_2_Subjek,Pilihan_3_Gred,Pilihan_3_Bil,Pilihan_3_Subjek,Pilihan_4_Gred,Pilihan_4_Bil,Pilihan_4_Subjek,Pilihan_5_Gred,Pilihan_5_Bil,Pilihan_5_Subjek,Pilihan_6_Gred,Pilihan_6_Bil,Pilihan_6_Subjek,Pilihan_7_Gred,Pilihan_7_Bil,Pilihan_7_Subjek,Pilihan_8_Gred,Pilihan_8_Bil,Pilihan_8_Subjek,Lain_Gred,Lain_Bil,Has_ATAU,ATAU_JSON,Syarat_Am,Syarat_Khas
175,DIPLOMA PENDIDIKAN ISLAM,#,UE4146001,2026,89.09,Tidak,Tidak,Ya,Semua Pakej,Diploma,Konvensional,05 Semester,0221 Agama Dan Teologi,Ya,Tidak,Tidak Berkenaan,,C,,,,,,,,,,B+,1,Pendidikan Islam|Tasawwur Islam|Pendidikan Al-quran Dan Al-sunnah|Pendidikan Syari'ah Islamiah|Turath Al-quran Dan Al-sunnah|Turath Dirasat Islamiah|Usul Al-din|Al-syariah|Manahij Al-'ulum Al-islamiah,C,1,Bahasa Arab|Bahasa Arab Tinggi|Turath Bahasa Arab|Al-lughah Al-arabiah Al-mu'asirah|Al-adab Wa Al-balaghah,C,1,Matematik|Matematik Tambahan Lulus ujian dan|atau temu duga yang ditetapkan,,,,,,,,,,,,,,,,,,Tidak,,Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. DUA (2) C dalam mana-mana matapelajaran yang belum dikira.,"Mendapat sekurang-kurangnya Gred B+ dalam SATU (1) mata pelajaran berikut : • Pendidikan Islam / Tasawwur Islam / Pendidikan Al-quran Dan Al-sunnah / Pendidikan Syari'ah Islamiah / Turath Al-quran Dan Al-sunnah / Turath Dirasat Islamiah / Usul Al-din / Al-syariah / Manahij Al-'ulum Al-islamiah Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Bahasa Arab / Bahasa Arab Tinggi / Turath Bahasa Arab / Al-lughah Al-arabiah Al-mu'asirah / Al-adab Wa Al-balaghah Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Matematik / Matematik Tambahan Lulus ujian dan / atau temu duga yang ditetapkan. Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja."
176,DIPLOMA PENGAJIAN BANK,Universiti Sultan Zainal Abidin,UD4343001,2026,81.41,Tidak,Tidak,Tidak,Semua Pakej,Diploma,Konvensional,05 Semester,"0412 Kewangan, Perbankan Dan Insurans",Tidak,Tidak,Tidak Berkenaan,,,,,,,,,,,,C,2,Matematik|Bahasa Inggeris,C,1,Prinsip Perakaunan|Ekonomi|Perniagaan|Sains|Sains Tambahan|Fizik|Kimia|Biologi,C,1,Pendidikan Islam|Maharat Al Quran|Pendidikan Syari'ah Islamiah|Turath Al-quran Dan Al-sunnah|Tasawwur Islam|Bahasa Arab|Bahasa Arab Tinggi|Usul Al-din|Al-syariah|Manahij Al-'ulum Al-islamiah|Al-adab Wa Al-balaghah|Hifz Al Quran|Al-lughah Al-arabiah Al-mu'asirah|Pendidikan Moral,,,,,,,,,,,,,,,,,,Tidak,,Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. DUA (2) C dalam mana-mana matapelajaran yang belum dikira.,Mendapat sekurang-kurangnya Gred C dalam DUA (2) mata pelajaran berikut : • Matematik • Bahasa Inggeris Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Prinsip Perakaunan • Ekonomi • Perniagaan • Sains • Sains Tambahan • Fizik • Kimia • Biologi Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Pendidikan Islam • Maharat Al Quran • Pendidikan Syari'ah Islamiah • Turath Al-quran Dan Al-sunnah • Tasawwur Islam • Bahasa Arab / Bahasa Arab Tinggi • Usul Al-din • Al-syariah • Manahij Al-'ulum Al-islamiah • Al-adab Wa Al-balaghah • Hifz Al Quran • Al-lughah Al-arabiah Al-mu'asirah • Pendidikan Moral
177,DIPLOMA PENGAJIAN INSURANS,Universiti Sultan Zainal Abidin,UD4343003,2026,72.36,Tidak,Tidak,Tidak,Semua Pakej,Diploma,Konvensional,05 Semester,"0412 Kewangan, Perbankan Dan Insurans",Tidak,Tidak,Tidak Berkenaan,,,,,,,,,,,,C,2,Matematik|Bahasa Inggeris,C,1,Prinsip Perakaunan|Ekonomi|Perniagaan|Sains|Sains Tambahan|Fizik|Kimia|Biologi,C,1,Pendidikan Islam|Maharat Al Quran|Pendidikan Syari'ah Islamiah|Turath Al-quran Dan Al-sunnah|Tasawwur Islam|Bahasa Arab|Bahasa Arab Tinggi|Usul Al-din|Al-syariah|Manahij Al-'ulum Al-islamiah|Al-adab Wa Al-balaghah|Hifz Al Quran|Al-lughah Al-arabiah Al-mu'asirah|Pendidikan Moral,,,,,,,,,,,,,,,,,,Tidak,,Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. DUA (2) C dalam mana-mana matapelajaran yang belum dikira.,Mendapat sekurang-kurangnya Gred C dalam DUA (2) mata pelajaran berikut : • Matematik • Bahasa Inggeris Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Prinsip Perakaunan • Ekonomi • Perniagaan • Sains • Sains Tambahan • Fizik • Kimia • Biologi Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Pendidikan Islam • Maharat Al Quran • Pendidikan Syari'ah Islamiah • Turath Al-quran Dan Al-sunnah • Tasawwur Islam • Bahasa Arab / Bahasa Arab Tinggi • Usul Al-din • Al-syariah • Manahij Al-'ulum Al-islamiah • Al-adab Wa Al-balaghah • Hifz Al Quran • Al-lughah Al-arabiah Al-mu'asirah • Pendidikan Moral
178,DIPLOMA PENGAJIAN INSURANS,Universiti Teknologi Mara,UE4343003,2026,65.21,Tidak,Tidak,Ya,Semua Pakej,Diploma,Konvensional,05 Semester,"0412 Kewangan, Perbankan Dan Insurans",Tidak,Tidak,Tidak Berkenaan,,C,,,,,,,,,,C,1,Matematik|Matematik Tambahan,,,,,,,,,,,,,,,,,,,,,,,,Tidak,,Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. DUA (2) C dalam mana-mana matapelajaran yang belum dikira.,"Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Matematik / Matematik Tambahan Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja."
179,DIPLOMA PENGAJIAN PERBANKAN,Universiti Teknologi Mara,UE4343002,2026,71.22,Tidak,Tidak,Ya,Semua Pakej,Diploma,Konvensional,05 Semester,"0412 Kewangan, Perbankan Dan Insurans",Tidak,Tidak,Tidak Berkenaan,,C,,,,,,,,,,C,1,Matematik|Matematik Tambahan,,,,,,,,,,,,,,,,,,,,,,,,Tidak,,Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. DUA (2) C dalam mana-mana matapelajaran yang belum dikira.,"Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Matematik / Matematik Tambahan Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja."
180,DIPLOMA PENGAJIAN PERNIAGAAN,Universiti Teknologi Mara,UE4340001,2026,75.17,Tidak,Tidak,Ya,Semua Pakej,Diploma,Konvensional,05 Semester,0410 Perniagaan Dan Pengurusan Tidak Dijelaskan Dengan Lebih Lanjut,Tidak,Tidak,Tidak Berkenaan,,C,,,,,,,,,,C,1,Matematik|Matematik Tambahan,,,,,,,,,,,,,,,,,,,,,,,,Tidak,,Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. DUA (2) C dalam mana-mana matapelajaran yang belum dikira.,"Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Matematik / Matematik Tambahan Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja."
181,DIPLOMA PENGAJIAN PERNIAGAAN,Politeknik,FB4340004,2026,65.72,Tidak,Tidak,Tidak,Semua Pakej,Diploma,Konvensional,06 Semester,0414 Pengurusan Dan Pentadbiran,Tidak,Tidak,Tidak Berkenaan,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tidak,,Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred E bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. TIGA (3) C dalam mana-mana matapelajaran yang belum dikira.,Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Matematik. Mendapat sekurang-kurangnya Gred C dalam mana-mana TIGA (3) mata pelajaran
182,DIPLOMA PENGAJIAN PERNIAGAAN (PENGANGKUTAN),Universiti Teknologi Mara,UE4340002,2026,63.14,Tidak,Tidak,Ya,Semua Pakej,Diploma,Konvensional,05 Semester,0414 Pengurusan Dan Pentadbiran,Tidak,Tidak,Tidak Berkenaan,,C,,,,,,,,,,C,1,Matematik|Matematik Tambahan,,,,,,,,,,,,,,,,,,,,,,,,Tidak,,Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. DUA (2) C dalam mana-mana matapelajaran yang belum dikira.,"Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Matematik / Matematik Tambahan Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja."
183,DIPLOMA PENGAJIAN SUKAN,Universiti Teknologi Mara,UE4813001,2026,70.44,Tidak,Ya,Ya,Semua Pakej,Diploma,Konvensional,06 Semester,1014 Sukan,Tidak,Tidak,Tidak Berkenaan,,C,,,,,,,,,,C,1,Matematik|Matematik Tambahan,,,,,,,,,,,,,,,,,,,,,,,,Tidak,,Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. DUA (2) C dalam mana-mana matapelajaran yang belum dikira.,"Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Matematik / Matematik Tambahan Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja."
184,DIPLOMA PENGAJIAN TURATH ISLAMI,#,UA4220001,2026,68.78,Tidak,Tidak,Tidak,Semua Pakej,Diploma,Konvensional,06 Semester,0224 Pengajian Islam,Ya,Tidak,Tidak Berkenaan,,,,E,,,,,,,,C,2,Pendidikan Islam|Pendidikan Syari'ah Islamiah|Hifz Al Quran|Usul Al-din|Pendidikan Al-quran Dan Al-sunnah|Maharat Al Quran|Al-syariah|Tasawwur Islam|Manahij Al-'ulum Al-islamiah|Turath Dirasat Islamiah|Turath Al-quran Dan Al-sunnah|Bahasa Arab|Bahasa Arab Tinggi|Turath Bahasa Arab|Al-lughah Al-arabiah Al-mu'asirah|Bahasa Arab (komunikasi)|Al-adab Wa Al-balaghah Lulus ujian dan|atau temu duga yang ditetapkan,,,,,,,,,,,,,,,,,,,,,,,,Tidak,,Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. DUA (2) C dalam mana-mana matapelajaran yang belum dikira.,Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Matematik. Mendapat sekurang-kurangnya Gred C dalam DUA (2) mata pelajaran berikut : • Pendidikan Islam / Pendidikan Syari'ah Islamiah / Hifz Al Quran / Usul Al-din / Pendidikan Al-quran Dan Al-sunnah / Maharat Al Quran / Al-syariah / Tasawwur Islam / Manahij Al-'ulum Al-islamiah / Turath Dirasat Islamiah / Turath Al-quran Dan Al-sunnah • Bahasa Arab / Bahasa Arab Tinggi / Turath Bahasa Arab / Al-lughah Al-arabiah Al-mu'asirah / Bahasa Arab (komunikasi) / Al-adab Wa Al-balaghah Lulus ujian dan / atau temu duga yang ditetapkan.
185,DIPLOMA PENGIMEJAN PERUBATAN,Universiti Teknologi Mara,UE4725002,2026,86.57,Tidak,Ya,Ya,"STEM A, B atau C",Diploma,Konvensional,06 Semester,0914 Diagnostik Perubatan Dan Teknologi Rawatan,Tidak,Tidak,Calon boleh melaksanakan kerja-kerja klinikal.,,B,,,,C,,,,,,C,1,Biologi|Kimia,C,1,Matematik|Matematik Tambahan,,,,,,,,,,,,,,,,,,,,,Tidak,,Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. DUA (2) C dalam mana-mana matapelajaran yang belum dikira.,"Mendapat sekurang-kurangnya Gred B dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Fizik. Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Biologi / Kimia Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Matematik / Matematik Tambahan Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja."
186,DIPLOMA PENGURUSAN ACARA,Politeknik,FB4812002,2026,56.79,Tidak,Ya,Tidak,Semua Pakej,Diploma,Konvensional,06 Semester,"1015 Pengembaraan, Pelancongan Dan Aktiviti Senggang",Tidak,Tidak,Tidak Berkenaan,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tidak,,Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred E bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. TIGA (3) C dalam mana-mana matapelajaran yang belum dikira.,Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred C dalam mana-mana TIGA (3) mata pelajaran
187,DIPLOMA PENGURUSAN DAN TEKNOLOGI PEJABAT,Universiti Teknologi Mara,UE4346001,2026,68.83,Tidak,Tidak,Ya,Semua Pakej,Diploma,Konvensional,05 Semester,0416 Kesetiausahaan Dan Pengajian Pengurusan Pejabat,Tidak,Tidak,Tidak Berkenaan,,C,,,,,,,,,,E,1,Matematik|Matematik Tambahan,,,,,,,,,,,,,,,,,,,,,,,,Tidak,,Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. DUA (2) C dalam mana-mana matapelajaran yang belum dikira.,"Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred E dalam SATU (1) mata pelajaran berikut : • Matematik / Matematik Tambahan Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja."
188,DIPLOMA PENGURUSAN HALAL,Universiti Teknologi Mara,UE4221001,2026,77.07,Tidak,Tidak,Ya,Semua Pakej,Diploma,Konvensional,05 Semester,0414 Pengurusan Dan Pentadbiran,Tidak,Tidak,Tidak Berkenaan,,C,,,,,,,,,,C,1,Pendidikan Islam|Tasawwur Islam|Pendidikan Al-quran Dan Al-sunnah|Pendidikan Syari'ah Islamiah|Turath Al-quran Dan Al-sunnah|Turath Dirasat Islamiah|Usul Al-din|Al-syariah|Manahij Al-'ulum Al-islamiah,E,1,Bahasa Arab|Bahasa Arab Tinggi|Turath Bahasa Arab|Al-lughah Al-arabiah Al-mu'asirah|Al-adab Wa Al-balaghah,E,1,Matematik|Matematik Tambahan,,,,,,,,,,,,,,,,,,Tidak,,Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. DUA (2) C dalam mana-mana matapelajaran yang belum dikira.,"Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Pendidikan Islam / Tasawwur Islam / Pendidikan Al-quran Dan Al-sunnah / Pendidikan Syari'ah Islamiah / Turath Al-quran Dan Al-sunnah / Turath Dirasat Islamiah / Usul Al-din / Al-syariah / Manahij Al-'ulum Al-islamiah Mendapat sekurang-kurangnya Gred E dalam SATU (1) mata pelajaran berikut : • Bahasa Arab / Bahasa Arab Tinggi / Turath Bahasa Arab / Al-lughah Al-arabiah Al-mu'asirah / Al-adab Wa Al-balaghah Mendapat sekurang-kurangnya Gred E dalam SATU (1) mata pelajaran berikut : • Matematik / Matematik Tambahan Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja."
189,DIPLOMA PENGURUSAN HARTANAH,Universiti Teknologi Mara,UE4581002,2026,64.24,Tidak,Ya,Ya,"STEM A, B atau C",Diploma,Konvensional,06 Semester,0734 Kaji Ukur,Tidak,Tidak,Tidak Berkenaan,,C,,,,,,,,,,C,1,Matematik|Matematik Tambahan,C,1,Fizik|Kimia|Biologi|Sains Tambahan|Sains,,,,,,,,,,,,,,,,,,,,,Tidak,,Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. DUA (2) C dalam mana-mana matapelajaran yang belum dikira.,"Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Matematik / Matematik Tambahan Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Fizik / Kimia / Biologi / Sains Tambahan / Sains Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja."
190,DIPLOMA PENGURUSAN HOTEL,Politeknik,FB4811003,2026,64.97,Tidak,Ya,Tidak,Semua Pakej,Diploma,Konvensional,06 Semester,"1013 Hotel, Restoran Dan Katering",Tidak,Tidak,Tidak Berkenaan,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tidak,,Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred E bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. TIGA (3) C dalam mana-mana matapelajaran yang belum dikira.,Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred C dalam mana-mana TIGA (3) mata pelajaran
191,DIPLOMA PENGURUSAN HOTEL,Universiti Teknologi Mara,UE4811002,2026,62.08,Tidak,Tidak,Ya,Semua Pakej,Diploma,Konvensional,05 Semester,"1013 Hotel, Restoran Dan Katering",Tidak,Tidak,Tidak Berkenaan,,C,,,,,,,,,,C,1,Matematik|Matematik Tambahan,,,,,,,,,,,,,,,,,,,,,,,,Tidak,,Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. DUA (2) C dalam mana-mana matapelajaran yang belum dikira.,"Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Matematik / Matematik Tambahan Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja."
192,DIPLOMA PENGURUSAN INDUSTRI PERLADANGAN,Universiti Teknologi Mara,UE4620002,2026,55.96,Tidak,Ya,Ya,Semua Pakej,Diploma,Konvensional,05 Semester,0811 Penghasilan Tanaman Dan Ternakan,Tidak,Tidak,Tidak Berkenaan,,C,,,,,,,,,,C,1,Matematik|Matematik Tambahan,E,2,Sains|Asas Kelestarian|Kejenteraan Ladang|Hortikultur Hiasan Dan Landskap|Pengeluaran Tanaman|Landskap Dan Nurseri|Akuakultur & Haiwan Rekreasi|Tanaman Makanan|Pertanian|Sains Pertanian|Sains Tambahan|Biologi|Kimia|Fizik|Pengurusan Ladang,,,,,,,,,,,,,,,,,,,,,Tidak,,Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. DUA (2) C dalam mana-mana matapelajaran yang belum dikira.,"Mendapat sekurang-kurangnya Gred C dalam SATU (1) mata pelajaran berikut : • Matematik / Matematik Tambahan Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred E dalam DUA (2) mata pelajaran berikut : • Sains • Asas Kelestarian • Kejenteraan Ladang • Hortikultur Hiasan Dan Landskap • Pengeluaran Tanaman • Landskap Dan Nurseri • Akuakultur & Haiwan Rekreasi • Tanaman Makanan • Pertanian • Sains Pertanian • Sains Tambahan • Biologi • Kimia • Fizik • Pengurusan Ladang Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja."
193,DIPLOMA PENGURUSAN LOGISTIK,Universiti Pertahanan Nasional Malaysia,UZ4345001,2026,85.88,Tidak,Tidak,Tidak,Semua Pakej,Diploma,Konvensional,05 Semester,0414 Pengurusan Dan Pentadbiran,Tidak,Tidak,1. Syarat-syarat lain yang ditetapkan oleh Senat dari semasa ke semasa.,C,,,C,,,,,,,,D,1,Bahasa Inggeris,,,,,,,,,,,,,,,,,,,,,,C,1,Tidak,,Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. DUA (2) C dalam mana-mana matapelajaran yang belum dikira.,Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Matematik. Mendapat sekurang-kurangnya Gred D dalam SATU (1) mata pelajaran berikut : • Bahasa Inggeris Mendapat sekurang-kurangnya Gred C dalam mana-mana SATU (1) mata pelajaran yang belum diambil kira
194,DIPLOMA PENGURUSAN LOGISTIK DAN RANTAIAN BEKALAN,Politeknik,FB4345001,2026,66.15,Tidak,Tidak,Tidak,Semua Pakej,Diploma,Konvensional,06 Semester,0414 Pengurusan Dan Pentadbiran,Tidak,Tidak,Tidak Berkenaan,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tidak,,Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred E bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. TIGA (3) C dalam mana-mana matapelajaran yang belum dikira.,Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Melayu. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Sejarah. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred E dalam mata pelajaran Matematik. Mendapat sekurang-kurangnya Gred C dalam mana-mana TIGA (3) mata pelajaran
195,DIPLOMA PENGURUSAN MAKLUMAT,Universiti Teknologi Mara,UE4322001,2026,69.9,Tidak,Tidak,Ya,Semua Pakej,Diploma,Konvensional,05 Semester,"0322 Pengajian Arkib, Maklumat Dan Perpustakaan",Tidak,Tidak,Tidak Berkenaan,,C,,,,,,,,,,E,1,Matematik|Matematik Tambahan,,,,,,,,,,,,,,,,,,,,,,,,Tidak,,Warganegara Malaysia yang mempunyai No. Kad Pengenalan / My Kad. Memiliki Sijil Pelajaran Malaysia (SPM) dengan mendapat sekurang-kurangnya :- Gred C bagi matapelajaran BAHASA MELAYU. Gred E bagi matapelajaran SEJARAH. DUA (2) C dalam mana-mana matapelajaran yang belum dikira.,"Mendapat sekurang-kurangnya Gred C dalam mata pelajaran Bahasa Inggeris. Mendapat sekurang-kurangnya Gred E dalam SATU (1) mata pelajaran berikut : • Matematik / Matematik Tambahan Berketurunan Melayu, Anak Negeri Sabah, Anak Negeri Sarawak dan Orang Asli sahaja."
